메이커,모델,스펙,배기량,기통,변속기,연료,CITY연비,HWY연비,CO2배출량
AUDI,A3_TDI,SUBCOMPACT,2,4,AT,경유,13.2,18.2,177
AUDI,A3,SUBCOMPACT,2,4,AT,고급유,10.2,13.9,198
AUDI,A3,SUBCOMPACT,2,4,AT,고급유,9.9,13.3,205
AUDI,A4,COMPACT,2,4,CVT,고급유,10.1,13.2,205
AUDI,A4,COMPACT,2,4,CVT,고급유,9.1,12.8,221
AUDI,A4,COMPACT,2,4,MT,고급유,9.4,13.7,209
AUDI,A4,STATION WAGON ,2,4,CVT,고급유,8.9,11.9,228
AUDI,A5,SUBCOMPACT,2,4,CVT,고급유,9.1,12.8,221
AUDI,A5,SUBCOMPACT,2,4,MT,고급유,9.4,13.7,209
AUDI,A5,SUBCOMPACT,2,4,CVT,고급유,8.8,12.5,225
AUDI,A6,MID_SIZE,2,4,CVT,고급유,8.3,12.3,237
AUDI,A6,MID_SIZE,3,6,CVT,고급유,7.8,11.6,251
AUDI,A6_TDI,MID_SIZE,3,6,CVT,경유,10.2,16.1,217
AUDI,A7,MID_SIZE,3,6,CVT,고급유,7.6,11.8,253
AUDI,A7_TDI,MID_SIZE,3,6,CVT,경유,10.2,16.1,217
AUDI,A8,MID_SIZE,3,6,CVT,고급유,7.9,12.5,242
AUDI,A8,MID_SIZE,4,8,CVT,고급유,7.8,12.5,246
AUDI,A8_TDI,MID_SIZE,3,6,CVT,경유,10.2,15.4,224
AUDI,A8L,FULL_SIZE,3,6,CVT,고급유,7.9,12.5,242
AUDI,A8L,FULL_SIZE,4,8,CVT,고급유,7.6,12,258
AUDI,A8L,FULL_SIZE,6.3,12,CVT,고급유,5.6,9.3,344
AUDI,A8_TDI,FULL_SIZE,3,6,CVT,경유,10.2,15.4,224
AUDI,Q3,COMPACT,2,4,CVT,고급유,8.3,12.2,237
AUDI,Q3,COMPACT,2,4,CVT,고급유,8.4,11.9,237
AUDI,Q5,SUV ,2,4,CVT,고급유,8.3,11.8,239
AUDI,Q5,SUV ,3,6,CVT,고급유,7.6,10.9,262
AUDI,Q5_TDI,SUV ,3,6,CVT,경유,9.8,12.8,244
AUDI,Q5_HYBRID,SUV ,2,4,CVT,고급유,10.2,12.7,205
AUDI,Q7,SUV ,3,6,CVT,고급유,6.6,9.1,306
AUDI,Q7_TDI,SUV ,3,6,CVT,경유,8.1,11.5,290
AUDI,R8,TWO_SEATER,4.2,8,AT,고급유,5.8,9.6,327
AUDI,R8,TWO_SEATER,4.2,8,MT,고급유,4.9,8.5,382
AUDI,R8,TWO_SEATER,5.2,10,AT,고급유,,9.4,347
AUDI,R8,TWO_SEATER,5.2,10,MT,고급유,5,8.3,377
AUDI,R8,TWO_SEATER,4.2,8,AT,고급유,5.8,9.6,327
AUDI,R8,TWO_SEATER,4.2,8,MT,고급유,4.9,8.5,382
AUDI,R8,TWO_SEATER,5.2,10,AT,고급유,,9.4,347
AUDI,R8,TWO_SEATER,5.2,10,MT,고급유,5,8.3,377
AUDI,RS,SUBCOMPACT,4.2,8,AT,고급유,6.7,9.9,294
AUDI,RS,SUBCOMPACT,4.2,8,AT,고급유,6.8,9.4,297
AUDI,RS,MID_SIZE,4,8,CVT,고급유,6,10.6,313
AUDI,S3,SUBCOMPACT,2,4,AT,고급유,9.9,13,207
AUDI,S4,COMPACT,3,6,AT,고급유,7.7,11.8,253
AUDI,S4,COMPACT,3,6,MT,고급유,7.2,11.1,269
AUDI,S5,SUBCOMPACT,3,6,AT,고급유,7.7,11.8,253
AUDI,S5,SUBCOMPACT,3,6,MT,고급유,7.2,11.1,269
AUDI,S5,SUBCOMPACT,3,6,AT,고급유,7.5,11,262
AUDI,S6,MID_SIZE,4,8,AT,고급유,7.1,11.5,269
AUDI,S7,MID_SIZE,4,8,AT,고급유,7.1,11.5,269
AUDI,S8,MID_SIZE,4,8,CVT,고급유,6.8,11.4,281
AUDI,SQ5,SUV ,3,6,CVT,고급유,7.1,10.1,281
AUDI,TT,SUBCOMPACT,2,4,AT,고급유,9.6,13.2,209
AUDI,TT,TWO_SEATER,2,4,AT,고급유,9.6,13,212
AUDI,TTS,SUBCOMPACT,2,4,AT,고급유,8.5,11.9,235
AUDI,TTS,TWO_SEATER,2,4,AT,고급유,8.5,11.8,235
AUDI,A3,SUBCOMPACT,1.8,4,AT,휘발유,10,14.1,204
AUDI,A3,SUBCOMPACT,2,4,AT,휘발유,10.2,13.9,201
AUDI,A3,SUBCOMPACT,2,4,AT,휘발유,9.9,13.3,208
AUDI,A4,COMPACT,2,4,CVT,고급유,10.1,13.2,212
AUDI,A4,COMPACT,2,4,CVT,고급유,9.1,12.8,224
AUDI,A4,COMPACT,2,4,MT,고급유,9.4,13.7,214
AUDI,A4,STATION WAGON ,2,4,CVT,고급유,8.9,11.9,232
AUDI,A5,SUBCOMPACT,2,4,CVT,고급유,9.1,12.8,224
AUDI,A5,SUBCOMPACT,2,4,MT,고급유,9.4,13.7,214
AUDI,A5,SUBCOMPACT,2,4,CVT,고급유,8.8,12.5,230
AUDI,A6,MID_SIZE,2,4,CVT,고급유,9.3,13.7,211
AUDI,A6,MID_SIZE,3,6,CVT,고급유,8.6,12.7,232
AUDI,A6_TDI,MID_SIZE,3,6,CVT,경유,10.6,16.1,213
AUDI,A7,MID_SIZE,3,6,CVT,고급유,8.6,12.7,232
AUDI,A7_TDI,MID_SIZE,3,6,CVT,경유,10.6,16.1,213
AUDI,A8,MID_SIZE,3,6,CVT,고급유,7.9,12.5,247
AUDI,A8,MID_SIZE,4,8,CVT,고급유,7.8,12.5,249
AUDI,A8_TDI,MID_SIZE,3,6,CVT,경유,10.2,15.4,224
AUDI,A8L,FULL_SIZE,4,8,CVT,고급유,7.6,12,255
AUDI,A8L,FULL_SIZE,6.3,12,CVT,고급유,5.6,9.3,344
AUDI,Q3,COMPACT,2,4,CVT,고급유,8.3,12.2,242
AUDI,Q3,COMPACT,2,4,CVT,고급유,8.4,11.9,240
AUDI,Q5,SUV ,2,4,CVT,고급유,8.3,11.8,244
AUDI,Q5,SUV ,3,6,CVT,고급유,7.6,10.9,267
AUDI,Q5_TDI,SUV ,3,6,CVT,경유,9.8,12.8,244
AUDI,Q5_HYBRID,SUV ,2,4,CVT,고급유,10.2,12.7,209
AUDI,RS,MID_SIZE,4,8,CVT,고급유,6,10.6,313
AUDI,S3,SUBCOMPACT,2,4,AT,고급유,9.9,13,211
AUDI,S4,COMPACT,3,6,AT,고급유,7.7,11.8,257
AUDI,S4,COMPACT,3,6,MT,고급유,7.2,11.1,273
AUDI,S5,SUBCOMPACT,3,6,AT,고급유,7.7,11.8,257
AUDI,S5,SUBCOMPACT,3,6,MT,고급유,7.2,11.1,273
AUDI,S5,SUBCOMPACT,3,6,AT,고급유,7.5,11,266
AUDI,S6,MID_SIZE,4,8,AT,고급유,7.5,11.4,263
AUDI,S7,MID_SIZE,4,8,AT,고급유,7.5,11.4,265
AUDI,S8,MID_SIZE,4,8,CVT,고급유,6.4,10.6,300
AUDI,SQ5,SUV ,3,6,CVT,고급유,7.1,10.1,285
AUDI,TT,SUBCOMPACT,2,4,AT,휘발유,9.9,12.8,209
AUDI,TT,TWO_SEATER,2,4,AT,휘발유,9.9,12.8,209
AUDI,TTS,SUBCOMPACT,2,4,AT,고급유,9.7,11.6,222
AUDI,A3,SUBCOMPACT,2,4,AT,휘발유,11,14.7,188
AUDI,A3,SUBCOMPACT,2,4,AT,휘발유,10.3,13.3,205
AUDI,A3,SUBCOMPACT,2,4,AT,휘발유,9.3,12.5,223
AUDI,A4,COMPACT,2,4,AT,고급유,11.6,15.6,177
AUDI,A4,COMPACT,2,4,AT,고급유,10.2,13,205
AUDI,A4,COMPACT,2,4,MT,고급유,10.1,14.3,204
AUDI,A4,STATION WAGON ,2,4,AT,고급유,9.8,12,217
AUDI,A5,SUBCOMPACT,2,4,CVT,고급유,9.1,12.5,226
AUDI,A5,SUBCOMPACT,2,4,MT,고급유,9.6,13.7,210
AUDI,A5,SUBCOMPACT,2,4,CVT,고급유,8.8,12.2,231
AUDI,A6,MID_SIZE,2,4,CVT,고급유,9.2,13.3,220
AUDI,A6,MID_SIZE,3,6,CVT,고급유,8.7,12.2,238
AUDI,A7,MID_SIZE,3,6,CVT,고급유,8.7,12.2,238
AUDI,A8,MID_SIZE,3,6,CVT,고급유,7.9,12.5,246
AUDI,A8,MID_SIZE,4,8,CVT,고급유,7.8,12.5,249
AUDI,A8L,FULL_SIZE,4,8,CVT,고급유,7.6,12,255
AUDI,Q3,COMPACT,2,4,CVT,고급유,8.4,11.9,243
AUDI,Q3,COMPACT,2,4,CVT,고급유,8.4,11.9,241
AUDI,Q5,SUV ,2,4,CVT,고급유,8.3,11.6,246
AUDI,Q5,SUV ,3,6,CVT,고급유,7.6,10.9,267
AUDI,Q7,SUV ,2,4,CVT,고급유,8.4,10.4,253
AUDI,Q7,SUV ,3,6,CVT,고급유,7.9,10.6,260
AUDI,R8,TWO_SEATER,5.2,10,AT,고급유,6.1,8.9,330
AUDI,R8,TWO_SEATER,5.2,10,AT,고급유,6.1,8.9,330
AUDI,RS,MID_SIZE,4,8,CVT,고급유,6.2,10.8,309
AUDI,S3,SUBCOMPACT,2,4,AT,고급유,9.1,11.8,232
AUDI,S5,SUBCOMPACT,3,6,AT,고급유,7.7,11.8,259
AUDI,S5,SUBCOMPACT,3,6,MT,고급유,7.2,11.1,273
AUDI,S5,SUBCOMPACT,3,6,AT,고급유,7.5,11,266
AUDI,S6,MID_SIZE,4,8,AT,고급유,7.5,11.4,263
AUDI,S7,MID_SIZE,4,8,AT,고급유,7.5,11.4,265
AUDI,S8,MID_SIZE,4,8,CVT,고급유,6.2,10.1,312
AUDI,SQ5,SUV ,3,6,CVT,고급유,7.1,10.1,285
AUDI,TT,SUBCOMPACT,2,4,AT,휘발유,9.9,12.8,209
AUDI,TT,TWO_SEATER,2,4,AT,휘발유,9.9,12.8,209
AUDI,TTS,SUBCOMPACT,2,4,AT,고급유,9.7,11.6,222
AUDI,A3,SUBCOMPACT,2,4,AT,휘발유,11,14.7,188
AUDI,A3,SUBCOMPACT,2,4,AT,휘발유,10.3,13.3,205
AUDI,A3,SUBCOMPACT,2,4,AT,휘발유,9.3,12.5,223
AUDI,A4,COMPACT,2,4,AT,고급유,11.6,15.6,177
AUDI,A4,COMPACT,2,4,AT,고급유,10,14.3,203
AUDI,A4,COMPACT,2,4,MT,고급유,10.1,14.1,204
AUDI,A4,STATION WAGON ,2,4,AT,고급유,9.5,12.7,217
AUDI,A5,SUBCOMPACT,2,4,AT,고급유,10,14.3,203
AUDI,A5,SUBCOMPACT,2,4,MT,고급유,10.1,14.1,204
AUDI,A5,SUBCOMPACT,2,4,AT,고급유,10,14.3,203
AUDI,A5,MID_SIZE,2,4,AT,고급유,10,14.3,203
AUDI,A6,MID_SIZE,2,4,CVT,고급유,9.4,13.3,216
AUDI,A6,MID_SIZE,3,6,CVT,고급유,8.7,12.2,235
AUDI,A7,MID_SIZE,3,6,CVT,고급유,8.7,12.2,235
AUDI,A8,FULL_SIZE,3,6,CVT,고급유,7.9,12.5,247
AUDI,A8,FULL_SIZE,4,8,CVT,고급유,6.6,11,290
AUDI,A8L,FULL_SIZE,4,8,CVT,고급유,6.6,11,290
AUDI,Q3,COMPACT,2,4,CVT,고급유,8.6,12,236
AUDI,Q3,COMPACT,2,4,CVT,고급유,8.4,11.9,240
AUDI,Q5,SUV ,2,4,CVT,고급유,9.6,11.6,226
AUDI,Q7,SUV ,2,4,CVT,고급유,8.2,10.5,258
AUDI,Q7,SUV ,3,6,CVT,고급유,7.9,10.6,260
AUDI,R8,TWO_SEATER,5.2,10,AT,고급유,6.3,10.5,304
AUDI,R8,TWO_SEATER,5.2,10,AT,고급유,5.8,8.8,338
AUDI,R8,TWO_SEATER,5.2,10,AT,고급유,5.8,8.8,338
AUDI,RS,SUBCOMPACT,2.5,5,AT,고급유,8.1,12,248
AUDI,RS,SUBCOMPACT,2.9,6,AT,고급유,7.8,11.2,260
AUDI,RS,MID_SIZE,4,8,CVT,고급유,5.9,10.4,318
AUDI,S3,SUBCOMPACT,2,4,AT,고급유,9.4,12,223
AUDI,S4,COMPACT,3,6,AT,고급유,8.7,12.5,232
AUDI,S5,SUBCOMPACT,3,6,AT,고급유,8.7,12.5,232
AUDI,S5,SUBCOMPACT,3,6,AT,고급유,8.4,12.3,239
AUDI,S5,MID_SIZE,3,6,AT,고급유,8.7,12.5,232
AUDI,S6,MID_SIZE,4,8,AT,고급유,6.7,10,298
AUDI,S7,MID_SIZE,4,8,AT,고급유,6.7,10,298
AUDI,S8,MID_SIZE,4,8,CVT,고급유,6.2,10.1,313
AUDI,SQ5,SUV ,3,6,AT,고급유,7.9,10,270
AUDI,TT,SUBCOMPACT,2,4,AT,휘발유,9.9,12.8,209
AUDI,TT,TWO_SEATER,2,4,AT,휘발유,9.9,12.8,209
AUDI,TT,SUBCOMPACT,2.5,5,AT,고급유,8.1,12.2,245
AUDI,TTS,SUBCOMPACT,2,4,AT,고급유,9.7,11.6,222
AUDI,A3,SUBCOMPACT,2,4,AT,휘발유,11,14.7,188
AUDI,A3,SUBCOMPACT,2,4,AT,휘발유,9.2,12.7,225
AUDI,A3,SUBCOMPACT,2,4,AT,휘발유,9.3,12.7,221
AUDI,A4,COMPACT,2,4,AT,고급유,11.6,14.5,182
AUDI,A4,COMPACT,2,4,AT,고급유,10,14.3,204
AUDI,A4,STATION WAGON ,2,4,AT,고급유,9.3,12.5,221
AUDI,A5,SUBCOMPACT,2,4,AT,고급유,10,14.3,204
AUDI,A5,SUBCOMPACT,2,4,AT,고급유,10,14.3,204
AUDI,A5,MID_SIZE,2,4,AT,고급유,10,14.3,204
AUDI,A6,MID_SIZE,3,6,AT,고급유,9.3,12.2,224
AUDI,A7,MID_SIZE,3,6,AT,고급유,9.3,12.2,224
AUDI,A8L,FULL_SIZE,3,6,CVT,고급유,8,11.6,252
AUDI,Q3,SUV ,2,4,CVT,휘발유,8.1,11.6,248
AUDI,Q5,SUV ,2,4,AT,고급유,9.2,11.5,230
AUDI,Q7,SUV ,2,4,CVT,고급유,8.2,10.5,258
AUDI,Q7,SUV ,3,6,CVT,고급유,7.9,10.6,260
AUDI,Q8,SUV ,3,6,CVT,고급유,7.1,9.3,294
AUDI,RS,SUBCOMPACT,2.5,5,AT,고급유,8.1,11.9,247
AUDI,RS,SUBCOMPACT,2.9,6,CVT,고급유,7.5,11.5,262
AUDI,RS,MID_SIZE,2.9,6,CVT,고급유,7.4,11.1,268
AUDI,S3,SUBCOMPACT,2,4,AT,고급유,9.3,12.5,222
AUDI,S4,COMPACT,3,6,CVT,고급유,8.8,12.5,230
AUDI,S5,SUBCOMPACT,3,6,CVT,고급유,8.8,12.5,230
AUDI,S5,SUBCOMPACT,3,6,CVT,고급유,8.8,12.2,234
AUDI,S5,MID_SIZE,3,6,CVT,고급유,8.8,12.5,230
AUDI,SQ5,SUV ,3,6,CVT,고급유,7.9,10,270
AUDI,TT,SUBCOMPACT,2,4,AT,휘발유,9.7,13,213
AUDI,TT,TWO_SEATER,2,4,AT,휘발유,9.7,13,213
AUDI,TT,SUBCOMPACT,2.5,5,AT,고급유,8.3,12,241
AUDI,TTS,SUBCOMPACT,2,4,AT,고급유,9.6,12.2,220
AUDI,A3,SUBCOMPACT,2,4,AT,휘발유,11.4,15.4,182
AUDI,A3,SUBCOMPACT,2,4,AT,휘발유,9.3,12.5,224
AUDI,A3,SUBCOMPACT,2,4,AT,휘발유,9.3,12.5,224
AUDI,A4,COMPACT,2,4,AT,고급유,10,13.7,205
AUDI,A4,STATION WAGON ,2,4,AT,고급유,10,13.5,206
AUDI,A5,SUBCOMPACT,2,4,AT,고급유,10,13.7,205
AUDI,A5,SUBCOMPACT,2,4,AT,고급유,10,13.5,206
AUDI,A5,MID_SIZE,2,4,AT,고급유,10,13.7,205
AUDI,A6,MID_SIZE,2,4,AT,고급유,10.2,13.5,205
AUDI,A6,MID_SIZE,3,6,AT,고급유,9.2,12.2,226
AUDI,A6,MID_SIZE,3,6,AT,고급유,8.5,11,247
AUDI,A7,MID_SIZE,3,6,AT,고급유,9.2,12.2,226
AUDI,A8L,FULL_SIZE,3,6,CVT,고급유,7.4,11.2,267
AUDI,A8L,FULL_SIZE,4,8,CVT,고급유,6.5,9.6,308
AUDI,Q3,SUV ,2,4,CVT,휘발유,8.1,11.6,248
AUDI,Q5,SUV ,2,4,AT,고급유,9.3,11.9,226
AUDI,Q7,SUV ,3,6,CVT,고급유,7.2,8.8,296
AUDI,Q8,SUV ,3,6,CVT,고급유,7.2,8.8,296
AUDI,R8,TWO_SEATER,5.2,10,AT,고급유,5.7,8.5,347
AUDI,R8,TWO_SEATER,5.2,10,AT,고급유,5.7,8.5,347
AUDI,RS,SUBCOMPACT,2.5,5,AT,고급유,8.3,11.9,243
AUDI,S3,SUBCOMPACT,2,4,AT,고급유,9.3,12.5,222
AUDI,S4,COMPACT,3,6,CVT,고급유,8.5,11.2,245
AUDI,S5,SUBCOMPACT,3,6,CVT,고급유,8.5,11.2,245
AUDI,S5,SUBCOMPACT,3,6,CVT,고급유,8.3,11,252
AUDI,S5,MID_SIZE,3,6,CVT,고급유,8.5,11.2,245
AUDI,S6,MID_SIZE,2.9,6,CVT,고급유,7.8,11.8,255
AUDI,S7,MID_SIZE,2.9,6,CVT,고급유,7.8,11.8,255
AUDI,S8,FULL_SIZE,4,8,CVT,고급유,5.7,9.3,339
AUDI,SQ5,SUV ,3,6,CVT,고급유,7.6,9.7,276
AUDI,TT,SUBCOMPACT,2,4,AT,휘발유,9.7,13,213
AUDI,TT,TWO_SEATER,2,4,AT,휘발유,9.7,13,213
AUDI,TT,SUBCOMPACT,2.5,5,AT,고급유,8.3,12.2,241
AUDI,TTS,SUBCOMPACT,2,4,AT,고급유,9.6,12.2,220
BMW,320I,COMPACT,2,4,AT,고급유,10,15.4,193
BMW,320I,COMPACT,2,4,MT,고급유,9.6,14.9,200
BMW,320I,COMPACT,2,4,AT,고급유,9.8,14.3,202
BMW,328D,COMPACT,2,4,AT,경유,13.2,18.2,181
BMW,328D,STATION WAGON ,2,4,AT,경유,13.2,18.2,181
BMW,328I,COMPACT,2,4,AT,고급유,10,15.4,193
BMW,328I,COMPACT,2,4,MT,고급유,9.6,14.9,200
BMW,328I,COMPACT,2,4,AT,고급유,9.4,13.9,209
BMW,328I,STATION WAGON ,2,4,AT,고급유,9.4,13.9,209
BMW,335I,COMPACT,3,6,AT,고급유,8.8,13.7,221
BMW,335I,COMPACT,3,6,MT,고급유,8.5,12.7,230
BMW,335I,COMPACT,3,6,AT,고급유,8.5,12.8,228
BMW,335I,COMPACT,3,6,MT,고급유,8.4,12,237
BMW,335I,FULL_SIZE,3,6,AT,고급유,8.4,12.5,232
BMW,428I,COMPACT,2,4,AT,고급유,10,15.4,193
BMW,428I,COMPACT,2,4,MT,고급유,9.6,14.9,200
BMW,428I,COMPACT,2,4,AT,고급유,9.4,13.9,209
BMW,435I,COMPACT,3,6,AT,고급유,8.8,13.7,221
BMW,435I,COMPACT,3,6,MT,고급유,8.5,12.7,230
BMW,435I,COMPACT,3,6,AT,고급유,8.5,12.8,228
BMW,435I,COMPACT,3,6,MT,고급유,8.4,12,237
BMW,528I,MID_SIZE,2,4,AT,고급유,9.8,14.3,202
BMW,528I,MID_SIZE,2,4,AT,고급유,9.4,13.9,209
BMW,535D,MID_SIZE,3,6,AT,경유,10.9,15.6,213
BMW,535I,MID_SIZE,3,6,AT,고급유,8.4,12.5,232
BMW,535I,FULL_SIZE,3,6,AT,고급유,8,11.6,246
BMW,550I,MID_SIZE,4.4,8,AT,고급유,6.9,10.4,281
BMW,550I,FULL_SIZE,4.4,8,AT,고급유,6.7,10.2,292
BMW,640I,COMPACT,3,6,AT,고급유,8.4,12.5,232
BMW,650I,SUBCOMPACT,4.4,8,AT,고급유,6.7,10.2,292
BMW,650I,COMPACT,4.4,8,AT,고급유,6.9,10.4,281
BMW,650I,COMPACT,4.4,8,AT,고급유,6.7,10.2,292
BMW,740LI,FULL_SIZE,3,6,AT,고급유,8,11.6,246
BMW,750I,FULL_SIZE,4.4,8,AT,고급유,6.7,10.2,292
BMW,750LI,FULL_SIZE,4.4,8,AT,고급유,6.7,10.2,292
BMW,760LI,FULL_SIZE,6,12,AT,고급유,5.3,8.7,356
BMW,ACTIVEHYBRID,COMPACT,3,6,AT,고급유,10.9,14.1,191
BMW,ACTIVEHYBRID,MID_SIZE,3,6,AT,고급유,9.5,12.7,214
BMW,ACTIVEHYBRID,FULL_SIZE,3,6,AT,고급유,9.5,13.2,212
BMW,ALPINA,FULL_SIZE,4.4,8,AT,고급유,6.7,10.2,292
BMW,ALPINA,FULL_SIZE,4.4,8,AT,고급유,6.7,10.2,292
BMW,M5,MID_SIZE,4.4,8,AT,고급유,5.8,8.7,338
BMW,M5,MID_SIZE,4.4,8,MT,고급유,6.2,9.2,317
BMW,M6,SUBCOMPACT,4.4,8,AT,고급유,5.8,8.7,338
BMW,M6,SUBCOMPACT,4.4,8,MT,고급유,6.2,9.2,317
BMW,M6,COMPACT,4.4,8,AT,고급유,5.8,8.7,338
BMW,M6,COMPACT,4.4,8,MT,고급유,6.2,9.2,317
BMW,X1,SUV ,2,4,AT,고급유,9.4,13.9,209
BMW,X1,SUV ,3,6,AT,고급유,7.6,11.2,260
BMW,X3,SUV ,2,4,AT,고급유,8.9,11.8,230
BMW,X3,SUV ,3,6,AT,고급유,7.9,11,253
BMW,X5,SUV ,3,6,AT,고급유,7.8,11.4,255
BMW,X5,SUV ,4.4,8,AT,고급유,6.1,9.2,320
BMW,X6,SUV ,4.4,8,AT,고급유,5.5,7.3,370
BMW,X6,SUV ,3,6,AT,고급유,7.4,10.2,274
BMW,X6,SUV ,4.4,8,AT,고급유,6.1,8.8,324
BMW,Z4,TWO_SEATER,2,4,AT,고급유,9.3,14.1,209
BMW,Z4,TWO_SEATER,2,4,MT,고급유,9.6,14.9,200
BMW,Z4,TWO_SEATER,3,6,AT,고급유,7.3,9.9,278
BMW,Z4,TWO_SEATER,3,6,MT,고급유,7.9,11.1,253
BMW,Z4,TWO_SEATER,3,6,AT,고급유,7.3,9.9,278
BMW,228I,SUBCOMPACT,2,4,CVT,고급유,9.6,14.1,205
BMW,228I,SUBCOMPACT,2,4,CVT,고급유,10,15.4,193
BMW,228I,SUBCOMPACT,2,4,MT,고급유,9.3,14.5,207
BMW,228I,SUBCOMPACT,2,4,CVT,고급유,9.4,13.9,209
BMW,228I,SUBCOMPACT,2,4,CVT,고급유,9.7,14.9,200
BMW,320I,COMPACT,2,4,CVT,고급유,10,15.4,193
BMW,320I,COMPACT,2,4,MT,고급유,9.3,14.5,207
BMW,320I,COMPACT,2,4,CVT,고급유,9.7,14.9,200
BMW,328D,COMPACT,2,4,CVT,경유,13.2,18.2,181
BMW,328D,STATION WAGON ,2,4,CVT,경유,13.2,18.2,181
BMW,328I,COMPACT,2,4,CVT,고급유,10,15.4,193
BMW,328I,COMPACT,2,4,MT,고급유,9.3,14.5,207
BMW,328I,COMPACT,2,4,CVT,고급유,9.4,13.9,209
BMW,328I,FULL_SIZE,2,4,CVT,고급유,9.4,13.9,209
BMW,328I,STATION WAGON ,2,4,CVT,고급유,9.4,13.9,209
BMW,335I,COMPACT,3,6,CVT,고급유,8.8,13.5,221
BMW,335I,COMPACT,3,6,MT,고급유,8.7,12.8,225
BMW,335I,COMPACT,3,6,CVT,고급유,8.4,12.8,230
BMW,335I,COMPACT,3,6,MT,고급유,8.3,12,237
BMW,335I,FULL_SIZE,3,6,CVT,고급유,8.4,12.8,230
BMW,428I,SUBCOMPACT,2,4,CVT,고급유,9.6,14.1,205
BMW,428I,COMPACT,2,4,CVT,고급유,10,15.4,193
BMW,428I,COMPACT,2,4,MT,고급유,9.3,14.5,207
